Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
12/11/2015,Accion,043XX,N,Lincoln,Avenue,Chicago,IL,60618,47,Medical Services,41.9611988,-87.683869818,"(41.9611988000442, -87.68386981831685)"
05/31/2013,Accion,043XX,N,Lincoln,Avenue,Chicago,IL,60618,47,Medical Services,41.9611988,-87.683869818,"(41.9611988000442, -87.68386981831685)"
10/04/2013,CNI,043XX,S,Vincennes,Avenue,Chicago,IL,60653,3,Food/Beverage,41.815184026,-87.614192226,"(41.81518402589755, -87.61419222560878)"
09/19/2013,WBDC,043XX,W,Fullerton,Avenue,Chicago,IL,60639,31,Professional/Off Svc,41.924479361,-87.736194413,"(41.92447936060114, -87.73619441273912)"
06/18/2014,WBDC,043XX,W,Fullerton,Avenue,Chicago,IL,60639,31,Professional/Off Svc,41.924479361,-87.736194413,"(41.92447936060114, -87.73619441273912)"
11/08/2013,WBDC,044XX,N,Ravenswood,Avenue,Chicago,IL,60640,47,Medical Services,41.963019851,-87.674712135,"(41.963019850664956, -87.67471213530199)"
08/30/2013,Accion,004XX,E,Randolph,Street,Chicago,IL,60601,42,Auto/Vehicle,41.884483688,-87.615456174,"(41.88448368813673, -87.61545617423779)"
04/04/2014,CNI,045XX,S,Greenwood,Avenue,Chicago,IL,60653,4,Other Services,41.811751058,-87.599457832,"(41.81175105830976, -87.59945783218119)"
11/27/2013,Accion,045XX,S,Leamington,Street,Chicago,IL,60638,22,Professional/Off Svc,41.809651235,-87.751917263,"(41.80965123480127, -87.75191726256269)"
05/25/2013,CNI,045XX,S,St Lawrence,Street,Chicago,IL,60653,3,Construction/Repair,41.811593819,-87.611651694,"(41.81159381946024, -87.61165169371479)"
08/28/2013,Accion,045XX,W,Irving Pk.,Rd.,Chicago,IL,60657,45,Retail Sales - Other,41.953583501,-87.742578071,"(41.95358350064632, -87.74257807113862)"
07/25/2014,Accion,046XX,S,Kolin,Avenue,Chicago,IL,60632,14,Retail Sales - Other,41.808075695,-87.732539098,"(41.80807569506072, -87.73253909758998)"
03/23/2015,Accion,047XX,N,Sawyer,Avenue,Chicago,IL,60625,33,Other Services,41.968126183,-87.709826697,"(41.9681261833808, -87.70982669683345)"
12/17/2012,Accion,048XX,N,Broadway,Street,Chicago,IL,60640,46,Food/Beverage,41.970449245,-87.65985608,"(41.97044924492594, -87.65985607953064)"
11/24/2014,Accion,048XX,S,Evans,Street,Chicago,IL,60615,4,Medical Services,41.806193422,-87.607859643,"(41.80619342227997, -87.60785964273944)"
05/30/2013,CNI,048XX,S,Forestville,Avenue,Chicago,IL,60615,4,Education,41.806118546,-87.612741496,"(41.806118546245706, -87.61274149629953)"
10/20/2012,Accion,048XX,S,Michigan,Avenue,Chicago,IL,60615,3,Professional/Off Svc,41.805960625,-87.622895681,"(41.80596062518711, -87.62289568111275)"
11/09/2015,WBDC,049XX,N,Francisco,Avenue,Chicago,IL,60625,40,Enviromental Consulting,41.972082832,-87.701396229,"(41.97208283201744, -87.70139622919875)"
03/24/2015,Accion,000XX,,,,Chicago,IL,60680,,Other Services,,,
03/05/2015,Accion,000XX,,,,Chicago,IL,60636,,Other Construction/Repair,,,
08/14/2014,Accion,000XX,E,102nd,Place,Chicago,IL,60628,9,Professional/Off Svc,41.708212377,-87.621623588,"(41.7082123769253, -87.62162358798388)"
10/07/2013,WBDC,000XX,E,14th,Street,Chicago,IL,60605,2,Professional/Off Svc,41.864181307,-87.625403212,"(41.86418130661212, -87.6254032122044)"
04/01/2013,Accion,000XX,E,Jackson,Boulevard,Chicago ,IL,60604,42,Other Services,41.878362592,-87.625789895,"(41.87836259235806, -87.62578989491375)"
05/02/2013,CNI,000XX,E,Washington,Street,Chicago,IL,60602,42,Professional/Off Svc,41.883330907,-87.62603979,"(41.88333090689532, -87.62603978976665)"
12/12/2014,Accion,000XX,N,LaSalle,Street,Chicago,IL,60602,42,Professional/Off Svc,41.883173368,-87.632552736,"(41.88317336800185, -87.63255273624772)"
03/03/2014,CNI,000XX,N,Wacker,Drive,Chicago,IL,60606,42,Professional/Off Svc,41.883134296,-87.637191526,"(41.883134295897996, -87.63719152602066)"
12/23/2015,CNI,000XX,N,Wacker,Drive,Chicago,IL,60606,42,Professional/Off Svc,41.883134296,-87.637191526,"(41.883134295897996, -87.63719152602066)"
05/30/2013,CNI,000XX,W,Polk,Street,Chicago,IL,60605,2,Transportation,41.872386434,-87.629583433,"(41.87238643412102, -87.6295834329867)"
11/03/2015,WBDC,000XX,W,Schiller,Street,Chicago,IL,60610,2,Entertainment/Manufacturing,41.90796282,-87.630584687,"(41.90796281994563, -87.63058468736337)"
09/16/2014,CNI,050XX,S,State,Street,Chicago,IL,60609,3,Catering,41.802247471,-87.626043589,"(41.80224747133299, -87.62604358873826)"
01/10/2013,CNI,052XX,S ,Harper,Street,Chicago,IL,60615,4,Retail Sales - Other,41.799563261,-87.589239073,"(41.79956326078698, -87.58923907267537)"
02/28/2013,CNI,052XX,S,May,Street,Chicago,IL,60643,16,Construction/Repair,41.798138001,-87.653908838,"(41.79813800113937, -87.65390883782467)"
01/15/2015,CNI,053XX,S,Greenwood,Avenue,Chicago,IL,60615,5,Service,41.798022972,-87.599856389,"(41.79802297199271, -87.59985638941095)"
10/22/2014,Accion,053XX,S,Hyde Park,BLVD,Chicago,IL,60615,5,Retail Stores,41.79821668,-87.58416835,"(41.798216680103366, -87.58416834977304)"
10/02/2013,WBDC,053XX,S,Hyde Park,Boulevard,Chicago,IL ,60653,5,Professional/Off Svc,41.79821668,-87.58416835,"(41.798216680103366, -87.58416834977304)"
07/23/2013,WBDC,054XX,W,Devon,Avenue,Chicago,IL,60646,39,Day Care,41.997458858,-87.765754186,"(41.99745885824015, -87.76575418581317)"
10/17/2014,Accion,054XX,W,Ferdinand,Street,Chicago,IL,60651,37,Auto/Vehicle,41.888993811,-87.762246174,"(41.88899381080205, -87.76224617439887)"
05/26/2015,WBDC,005XX,E,43rd,Street,Chicago,IL,60653,4,,41.816831307,-87.612018219,"(41.81683130678038, -87.6120182191566)"
05/30/2013,CNI,005XX,E,61st,Street,Chicago,IL,60637,20,Other Services,41.784071842,-87.611277409,"(41.78407184195581, -87.61127740916741)"
01/29/2016,Accion,005XX,N,Michigan,Avenue,Chicago,IL,60611,42,Retail Sales - Other,41.892511145,-87.624330958,"(41.892511144939995, -87.62433095779593)"
02/20/2013,Accion,005XX,N,Michigan,Avenue,Chicago,IL,60611,42,Food/Beverage,41.892511145,-87.624330958,"(41.892511144939995, -87.62433095779593)"
11/25/2013,Accion,055XX,S,State,Street,Chicago,IL,60621,3,Beauty/Salon Services,41.79291528,-87.625802131,"(41.79291527962311, -87.62580213055435)"
05/20/2014,Accion,055XX,W,Belmont,Avenue,Chicago,IL,60641,31,Professional/Off Svc,41.938688594,-87.766123438,"(41.93868859359603, -87.76612343785888)"
08/04/2015,CNI,056XX,,Mannheim,Road,Chicago,IL,60666,16,Other Services - Barbershop,41.981355689,-87.879182873,"(41.981355689208115, -87.8791828728431)"
02/16/2016,Accion,057XX,N,Winthrop,Avenue,Chicago,IL,60660,48,Arts/Crafts Production,41.986987321,-87.6582672,"(41.98698732052183, -87.65826720031846)"
07/28/2014,Accion,059XX,S,Michigan,Avenue,Chicago,IL,60637,20,Construction/Repair,41.785900266,-87.622383571,"(41.78590026550305, -87.62238357058168)"
06/03/2015,Accion,059XX,S,Michigan,Avenue,Chicago,IL,60637,20,Construction/Repair,41.785900266,-87.622383571,"(41.78590026550305, -87.62238357058168)"
01/10/2012,Accion,059XX,W,Patterson,Avenue,Chicago,IL,60634,39,Medical Services,41.946795663,-87.776116779,"(41.94679566343606, -87.77611677888262)"
09/03/2014,Accion,059XX,W,Patterson,Avenue,Chicago,IL,60634,36,Medical Services,41.946795663,-87.776116779,"(41.94679566343606, -87.77611677888262)"
03/04/2015,Accion,060XX,W,Irving Pk.,Road,Chicago,IL,60634,38,Retail Stores,41.953128103,-87.778825478,"(41.95312810286122, -87.7788254781443)"
05/09/2013,Accion,063XX,S.,Kolin,Avenue,Chicago,IL,60629,13,Construction/Repair,41.777016532,-87.731410259,"(41.77701653212543, -87.73141025869704)"
07/02/2014,Accion,063XX,W,Cuyler,Avenue,Chicago,IL,60634,38,Food/Beverage,41.953948536,-87.786167289,"(41.9539485359146, -87.78616728857502)"
05/22/2014,Accion,064XX,S,Pulaski,Avenue,Chicago,IL,60629,13,Food/Beverage,41.775286556,-87.722819282,"(41.77528655570301, -87.72281928238218)"
08/28/2013,WBDC,064XX,S,Washtenaw,Avenue,Chicago,IL,60629,15,Transportation,41.77572258,-87.691015878,"(41.77572257951559, -87.69101587776966)"
06/13/2014,Accion,006XX,E,71st ,Street,Chicago,IL,60637,6,Construction/Repair,41.765935086,-87.608486389,"(41.765935086251496, -87.60848638882781)"
12/20/2012,Accion,006XX,E,75th,Street,Chicago,IL,60619,6,Food/Beverage,41.758642167,-87.608238768,"(41.75864216743345, -87.60823876800852)"
05/20/2013,Accion,006XX,N,Milwaukee,Avenue,Chicago,IL,60642,27,Clothing/Material Production,41.893222744,-87.650960012,"(41.89322274412849, -87.65096001210877)"
